Parameter Name,Value
CdA (m²),1.54242024884
Max Speed (kph),300
Max Speed (m/s),83.3333333333
Max RPM,19500
Max Gear,8
Engine Torque at Max Speed (Nm),367.280637904
Wheel Torque at Max Speed (Nm),3035.25
Overall Ratio at Max Speed,8.69907005779
Air Density (kg/m³),1.18141810591
Gear 2 Overall Ratio,23.4205732325
Gear 3 Overall Ratio,18.2903524292
Gear 4 Overall Ratio,16.3572257497
Gear 5 Overall Ratio,14.4984500963
Gear 6 Overall Ratio,12.9370785475
Gear 7 Overall Ratio,11.5244090509
Gear 8 Overall Ratio,9.23846556975
